,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Byron Bay,75,AU,1570317878,64,-28.65,153.62,297.04,1.5
1,Rikitea,100,PF,1570317880,79,-23.12,-134.97,294.923,9.36
2,Faanui,60,PF,1570317881,74,-16.48,-151.75,299.583,5.29
3,Sinnamary,0,GF,1570317882,79,5.38,-52.96,300.843,5.96
4,Avarua,100,CK,1570317862,49,-21.21,-159.78,296.15,3.1
5,Punta Arenas,75,CL,1570317885,65,-53.16,-70.91,281.15,4.1
6,Pevek,100,RU,1570317886,81,69.7,170.27,271.123,8.24
7,Walvis Bay,0,NA,1570317660,87,-22.95,14.51,285.15,3.1
8,Nikolskoye,0,RU,1570317692,92,59.7,30.79,273.71,2.0
9,Paamiut,100,GL,1570317680,87,61.99,-49.67,277.233,15.6
10,Bamako,20,ML,1570317891,88,12.65,-8.0,299.15,1.0
11,Grand Gaube,75,MU,1570317630,94,-20.01,57.66,295.37,2.6
12,Clyde River,20,CA,1570317894,63,70.47,-68.59,270.15,3.1
13,Keflavik,20,IS,1570317896,93,64.0,-22.56,282.15,5.1
14,Albany,1,US,1570317789,61,42.65,-73.75,283.15,2.1
15,San Clemente,1,US,1570317687,44,33.43,-117.61,304.82,4.6
16,Safford,1,US,1570317899,18,32.83,-109.71,306.15,3.1
17,Merrill,1,US,1570317607,29,42.03,-121.6,289.82,2.1
18,Ushuaia,85,AR,1570317902,64,-54.81,-68.31,277.15,7.2
19,Tura,81,RU,1570317903,84,64.27,100.22,272.203,5.27
20,Porbandar,0,IN,1570317905,73,21.64,69.61,300.863,4.723
21,Ponta do Sol,22,BR,1570317906,53,-20.63,-46.0,296.653,5.44
22,Barrow,3,AR,1570317907,91,-38.31,-60.23,278.533,2.69
23,Busselton,89,AU,1570317909,67,-33.64,115.35,285.37,2.83
24,Ust-Omchug,37,RU,1570317910,88,61.13,149.63,261.243,1.46
25,Boulder,1,US,1570317912,20,40.02,-105.27,294.15,3.1
26,Husavik,100,CA,1570317913,90,50.56,-96.99,280.37,2.24
27,Touros,20,BR,1570317915,83,-5.2,-35.46,297.15,4.1
28,Arraial do Cabo,0,BR,1570317545,78,-22.97,-42.02,297.15,9.3
29,Hithadhoo,100,MV,1570317917,71,-0.6,73.08,300.783,2.084
30,Bud,0,NO,1570317553,54,62.91,6.91,276.15,3.1
31,Lebu,75,ET,1570317920,77,8.96,38.73,288.15,2.1
32,Seydi,100,NE,1570317921,65,13.34,7.75,299.403,0.93
33,Bluff,0,AU,1570317923,40,-23.58,149.07,298.203,1.3
34,Tasiilaq,100,GL,1570317924,70,65.61,-37.64,279.15,11.8
35,Puerto Ayora,0,EC,1570317925,73,-0.74,-90.35,295.15,10.3
36,Payo,98,ID,1570317927,56,-3.75,103.64,292.983,1.79
37,Carnarvon,0,ZA,1570317557,11,-30.97,22.13,290.933,3.69
38,Mar del Plata,71,AR,1570317689,37,-46.43,-67.52,284.453,2.53
39,Alice Springs,0,AU,1570317573,9,-23.7,133.88,302.15,5.1
40,Vaini,90,IN,1570317932,94,15.34,74.49,296.403,0.74
41,Esperance,90,AU,1570317539,87,-33.86,121.89,285.15,0.5
42,Cape Town,14,ZA,1570317935,81,-33.93,18.42,288.15,2.1
43,Landau,0,DE,1570317936,87,51.34,9.08,280.15,2.1
44,Hobart,75,AU,1570317661,67,-42.88,147.33,288.71,3.6
45,Ribeira Grande,74,PT,1570317938,94,38.52,-28.7,294.243,7.144
46,Emerald,0,AU,1570317940,33,-23.53,148.16,299.26,2.6
47,Thinadhoo,96,MV,1570317941,73,0.53,72.93,300.813,3.32
48,Dikson,8,RU,1570317700,73,73.51,80.55,268.083,5.886
49,Vila Velha,75,BR,1570317944,69,-3.71,-38.6,300.15,5.1
50,Bredasdorp,38,ZA,1570317945,72,-34.53,20.04,288.15,2.1
51,New Norfolk,75,AU,1570317946,67,-42.78,147.06,288.71,3.6
52,Kosonsoy,99,UZ,1570317948,72,41.25,71.55,288.15,2.1
53,Jamestown,0,AU,1570317949,45,-33.21,138.6,292.053,6.157
54,Yellowknife,75,CA,1570317453,80,62.45,-114.38,278.15,3.1
55,Machaneng,8,BW,1570317952,29,-23.19,27.49,294.923,4.22
56,Matagami,98,NG,1570317580,93,9.67,8.4,293.723,1.416
57,Hermanus,65,ZA,1570317954,85,-34.42,19.24,287.04,5.24
58,Ponferrada,33,ES,1570317702,99,42.55,-6.59,284.26,0.73
59,Reo,88,BF,1570317957,58,12.32,-2.47,300.033,4.61
60,Port Elizabeth,75,US,1570317958,62,39.31,-74.98,289.15,2.6
61,Yumen,83,CN,1570317960,33,40.29,97.04,280.183,4.75
62,Nueva Loja,0,EC,1570317961,70,0.08,-76.88,302.15,1.5
63,Cidreira,100,BR,1570317962,89,-30.17,-50.22,288.623,3.13
64,Atuona,14,PF,1570317963,73,-9.8,-139.03,300.013,7.95
65,Fallon,40,US,1570317965,37,46.84,-105.12,286.48,10.3
66,Visnes,1,NO,1570317966,80,59.36,5.22,282.04,3.6
67,Lorengau,7,PG,1570317968,65,-2.02,147.27,302.423,1.88
68,General Roca,0,AR,1570317969,29,-39.03,-67.58,289.15,1.0
69,Bethel,75,US,1570317970,80,60.79,-161.76,279.15,6.7
70,Kapaa,90,US,1570317972,69,22.08,-159.32,304.15,6.7
71,Longyearbyen,75,NO,1570317973,74,78.22,15.63,276.15,10.3
72,Mayo,75,CA,1570317974,64,63.59,-135.9,276.15,2.6
73,Broomall,1,US,1570317976,66,39.98,-75.36,287.15,2.1
74,Labuhan,10,ID,1570317977,66,-2.54,115.51,300.553,0.14
75,Castro,90,CL,1570317979,76,-42.48,-73.76,282.15,4.1
76,Hibbing,90,US,1570317980,93,47.43,-92.94,283.15,3.6
77,Saldanha,50,PT,1570317981,70,41.42,-6.55,286.903,1.95
78,Beringovskiy,0,RU,1570317983,43,63.05,179.32,273.063,8.45
79,Chuy,100,UY,1570317984,81,-33.69,-53.46,284.933,4.36
80,Mahebourg,75,MU,1570317645,94,-20.41,57.7,295.37,2.6
81,Narsaq,33,GL,1570317653,45,60.91,-46.05,282.15,2.1
82,Thompson,90,CA,1570317988,100,55.74,-97.86,279.15,1.0
83,Ichhawar,100,IN,1570317990,85,23.03,77.02,295.753,1.628
84,Rovaniemi,90,FI,1570317840,93,66.5,25.72,275.15,2.6
85,Kruisfontein,0,ZA,1570317992,90,-34.0,24.73,287.533,6.05
86,Ilulissat,55,GL,1570317994,86,69.22,-51.1,276.15,3.6
87,Aras,9,ES,1570317995,82,42.56,-2.36,288.15,2.1
88,Cabimas,100,VE,1570317996,68,10.39,-71.44,301.093,0.55
89,East London,0,ZA,1570317870,57,-33.02,27.91,290.633,1.56
90,Puerto Quijarro,90,BO,1570317999,83,-19.0,-57.72,294.15,7.2
91,Panchgani,49,IN,1570318000,91,17.92,73.8,295.423,0.78
92,Cherskiy,90,RU,1570318002,85,68.75,161.3,266.173,4.876
93,Kupang,20,ID,1570318003,54,-10.16,123.6,299.15,2.1
94,Mataura,90,NZ,1570318005,68,-46.19,168.86,284.82,3.58
95,Gospic,20,HR,1570318006,93,44.55,15.37,285.15,2.1
96,Poum,22,MK,1570317560,91,41.28,20.71,279.183,0.31
97,Erzin,40,TR,1570318009,73,36.95,36.2,297.04,3.1
98,San Vicente,20,EC,1570318010,83,-0.59,-80.41,297.15,5.1
99,Hasaki,75,JP,1570318011,88,35.73,140.83,294.15,5.1
100,Luwuk,47,ID,1570318013,92,-0.95,122.79,292.453,1.72
